Margin(data: [.#.##..#.#], img[2411], T[0,0], d[N])
Margin(data: [....##.###], img[3911], T[1,180], d[E])
Margin(data: [##...#####], img[3911], T[1,180], d[S])
Margin(data: [#..#.##.##], img[3911], T[1,180], d[W])
Margin(data: [##.##.#..#], img[3911], T[1,270], d[N])
Margin(data: [####.#..#.], img[3911], T[1,270], d[E])
Margin(data: [###.##....], img[3911], T[1,270], d[S])
Margin(data: [##...#####], img[3911], T[1,270], d[W])
Margin(data: [#..#.##...], img[3257], T[0,0], d[N])
Margin(data: [.##..#####], img[3257], T[0,0], d[E])
Margin(data: [.##.####.#], img[3257], T[0,0], d[S])
Margin(data: [#.###.##..], img[3257], T[0,0], d[W])
Margin(data: [..##.###.#], img[3257], T[0,90], d[N])
Margin(data: [#..#.##...], img[3257], T[0,90], d[E])
Margin(data: [#####..##.], img[3257], T[0,90], d[S])
Margin(data: [.##.####.#], img[3257], T[0,90], d[W])
Margin(data: [#.####.##.], img[3257], T[0,180], d[N])
Margin(data: [..##.###.#], img[3257], T[0,180], d[E])
Margin(data: [...##.#..#], img[3257], T[0,180], d[S])
Margin(data: [#####..##.], img[3257], T[0,180], d[W])
Margin(data: [.##..#####], img[3257], T[0,270], d[N])
Margin(data: [#.####.##.], img[3257], T[0,270], d[E])
Margin(data: [#.###.##..], img[3257], T[0,270], d[S])
Margin(data: [...##.#..#], img[3257], T[0,270], d[W])
Margin(data: [...##.#..#], img[3257], T[1,0], d[N])
Margin(data: [#.###.##..], img[3257], T[1,0], d[E])
Margin(data: [#.####.##.], img[3257], T[1,0], d[S])
Margin(data: [.##..#####], img[3257], T[1,0], d[W])
Margin(data: [#####..##.], img[3257], T[1,90], d[N])
Margin(data: [...##.#..#], img[3257], T[1,90], d[E])
Margin(data: [..##.###.#], img[3257], T[1,90], d[S])
Margin(data: [#.####.##.], img[3257], T[1,90], d[W])
Margin(data: [.##.####.#], img[3257], T[1,180], d[N])
Margin(data: [#####..##.], img[3257], T[1,180], d[E])
Margin(data: [#..#.##...], img[3257], T[1,180], d[S])
Margin(data: [..##.###.#], img[3257], T[1,180], d[W])
Margin(data: [#.###.##..], img[3257], T[1,270], d[N])
Margin(data: [.##.####.#], img[3257], T[1,270], d[E])
Margin(data: [.##..#####], img[3257], T[1,270], d[S])
Margin(data: [#..#.##...], img[3257], T[1,270], d[W])
Margin(data: [.###.#####], img[2237], T[0,0], d[N])
Margin(data: [####..#..#], img[2237], T[0,0], d[E])
Margin(data: [####.#####], img[2237], T[0,0], d[S])
Margin(data: [...#..####], img[2237], T[0,0], d[W])
Margin(data: [####..#...], img[2237], T[0,90], d[N])
Margin(data: [.###.#####], img[2237], T[0,90], d[E])
Margin(data: [#..#..####], img[2237], T[0,90], d[S])
Margin(data: [####.#####], img[2237], T[0,90], d[W])
Margin(data: [#####.####], img[2237], T[0,180], d[N])
Margin(data: [####..#...], img[2237], T[0,180], d[E])
Margin(data: [#####.###.], img[2237], T[0,180], d[S])
Margin(data: [#..#..####], img[2237], T[0,180], d[W])
Margin(data: [####..#..#], img[2237], T[0,270], d[N])
Margin(data: [#####.####], img[2237], T[0,270], d[E])
Margin(data: [...#..####], img[2237], T[0,270], d[S])
Margin(data: [#####.###.], img[2237], T[0,270], d[W])
Margin(data: [#####.###.], img[2237], T[1,0], d[N])
Margin(data: [...#..####], img[2237], T[1,0], d[E])
Margin(data: [#####.####], img[2237], T[1,0], d[S])
Margin(data: [####..#..#], img[2237], T[1,0], d[W])
Margin(data: [#..#..####], img[2237], T[1,90], d[N])
Margin(data: [#####.###.], img[2237], T[1,90], d[E])
Margin(data: [####..#...], img[2237], T[1,90], d[S])
Margin(data: [#####.####], img[2237], T[1,90], d[W])
Margin(data: [####.#####], img[2237], T[1,180], d[N])
Margin(data: [#..#..####], img[2237], T[1,180], d[E])
Margin(data: [.###.#####], img[2237], T[1,180], d[S])
Margin(data: [####..#...], img[2237], T[1,180], d[W])
Margin(data: [...#..####], img[2237], T[1,270], d[N])
Margin(data: [####.#####], img[2237], T[1,270], d[E])
Margin(data: [####..#..#], img[2237], T[1,270], d[S])
Margin(data: [.###.#####], img[2237], T[1,270], d[W])
Margin(data: [#.#.###...], img[2389], T[0,0], d[N])
Margin(data: [.#.#.###..], img[2389], T[0,0], d[E])
Margin(data: [..#.#..##.], img[2389], T[0,0], d[S])
Margin(data: [##...#.##.], img[2389], T[0,0], d[W])
Margin(data: [.##.#...##], img[2389], T[0,90], d[N])
Margin(data: [#.#.###...], img[2389], T[0,90], d[E])
Margin(data: [..###.#.#.], img[2389], T[0,90], d[S])
Margin(data: [..#.#..##.], img[2389], T[0,90], d[W])
Margin(data: [.##..#.#..], img[2389], T[0,180], d[N])
Margin(data: [.##.#...##], img[2389], T[0,180], d[E])
Margin(data: [...###.#.#], img[2389], T[0,180], d[S])
Margin(data: [..###.#.#.], img[2389], T[0,180], d[W])
Margin(data: [.#.#.###..], img[2389], T[0,270], d[N])
Margin(data: [.##..#.#..], img[2389], T[0,270], d[E])
Margin(data: [##...#.##.], img[2389], T[0,270], d[S])
Margin(data: [...###.#.#], img[2389], T[0,270], d[W])
Margin(data: [...###.#.#], img[2389], T[1,0], d[N])
Margin(data: [##...#.##.], img[2389], T[1,0], d[E])
Margin(data: [.##..#.#..], img[2389], T[1,0], d[S])
Margin(data: [.#.#.###..], img[2389], T[1,0], d[W])
Margin(data: [..###.#.#.], img[2389], T[1,90], d[N])
Margin(data: [...###.#.#], img[2389], T[1,90], d[E])
Margin(data: [.##.#...##], img[2389], T[1,90], d[S])
Margin(data: [.##..#.#..], img[2389], T[1,90], d[W])
Margin(data: [..#.#..##.], img[2389], T[1,180], d[N])
Margin(data: [..###.#.#.], img[2389], T[1,180], d[E])
Margin(data: [#.#.###...], img[2389], T[1,180], d[S])
Margin(data: [.##.#...##], img[2389], T[1,180], d[W])
Margin(data: [##...#.##.], img[2389], T[1,270], d[N])
Margin(data: [..#.#..##.], img[2389], T[1,270], d[E])
Margin(data: [.#.#.###..], img[2389], T[1,270], d[S])
Margin(data: [#.#.###...], img[2389], T[1,270], d[W])
Margin(data: [..##.#####], img[3209], T[0,0], d[N])
Margin(data: [##.##..###], img[3209], T[0,0], d[E])
Margin(data: [...#..####], img[3209], T[0,0], d[S])
Margin(data: [..#..####.], img[3209], T[0,0], d[W])
Margin(data: [.####..#..], img[3209], T[0,90], d[N])
Margin(data: [..##.#####], img[3209], T[0,90], d[E])
Margin(data: [###..##.##], img[3209], T[0,90], d[S])
Margin(data: [...#..####], img[3209], T[0,90], d[W])
Margin(data: [####..#...], img[3209], T[0,180], d[N])
Margin(data: [.####..#..], img[3209], T[0,180], d[E])
Margin(data: [#####.##..], img[3209], T[0,180], d[S])
Margin(data: [###..##.##], img[3209], T[0,180], d[W])
Margin(data: [##.##..###], img[3209], T[0,270], d[N])
Margin(data: [####..#...], img[3209], T[0,270], d[E])
Margin(data: [..#..####.], img[3209], T[0,270], d[S])
Margin(data: [#####.##..], img[3209], T[0,270], d[W])
Margin(data: [#####.##..], img[3209], T[1,0], d[N])
Margin(data: [..#..####.], img[3209], T[1,0], d[E])
Margin(data: [####..#...], img[3209], T[1,0], d[S])
Margin(data: [##.##..###], img[3209], T[1,0], d[W])
Margin(data: [###..##.##], img[3209], T[1,90], d[N])
Margin(data: [#####.##..], img[3209], T[1,90], d[E])
Margin(data: [.####..#..], img[3209], T[1,90], d[S])
Margin(data: [####..#...], img[3209], T[1,90], d[W])
Margin(data: [...#..####], img[3209], T[1,180], d[N])
Margin(data: [###..##.##], img[3209], T[1,180], d[E])
Margin(data: [..##.#####], img[3209], T[1,180], d[S])
Margin(data: [.####..#..], img[3209], T[1,180], d[W])
Margin(data: [..#..####.], img[3209], T[1,270], d[N])
Margin(data: [...#..####], img[3209], T[1,270], d[E])
Margin(data: [##.##..###], img[3209], T[1,270], d[S])
Margin(data: [..##.#####], img[3209], T[1,270], d[W])
Margin(data: [#...#.##..], img[2579], T[0,0], d[N])
Margin(data: [.##..###..], img[2579], T[0,0], d[E])
Margin(data: [##..#.##..], img[2579], T[0,0], d[S])
Margin(data: [#.#.##..##], img[2579], T[0,0], d[W])
Margin(data: [##..##.#.#], img[2579], T[0,90], d[N])
Margin(data: [#...#.##..], img[2579], T[0,90], d[E])
Margin(data: [..###..##.], img[2579], T[0,90], d[S])
Margin(data: [##..#.##..], img[2579], T[0,90], d[W])
Margin(data: [..##.#..##], img[2579], T[0,180], d[N])
Margin(data: [##..##.#.#], img[2579], T[0,180], d[E])
Margin(data: [..##.#...#], img[2579], T[0,180], d[S])
Margin(data: [..###..##.], img[2579], T[0,180], d[W])
Margin(data: [.##..###..], img[2579], T[0,270], d[N])
Margin(data: [..##.#..##], img[2579], T[0,270], d[E])
Margin(data: [#.#.##..##], img[2579], T[0,270], d[S])
Margin(data: [..##.#...#], img[2579], T[0,270], d[W])
Margin(data: [..##.#...#], img[2579], T[1,0], d[N])
Margin(data: [#.#.##..##], img[2579], T[1,0], d[E])
Margin(data: [..##.#..##], img[2579], T[1,0], d[S])
Margin(data: [.##..###..], img[2579], T[1,0], d[W])
Margin(data: [..###..##.], img[2579], T[1,90], d[N])
Margin(data: [..##.#...#], img[2579], T[1,90], d[E])
Margin(data: [##..##.#.#], img[2579], T[1,90], d[S])
Margin(data: [..##.#..##], img[2579], T[1,90], d[W])
Margin(data: [##..#.##..], img[2579], T[1,180], d[N])
Margin(data: [..###..##.], img[2579], T[1,180], d[E])
Margin(data: [#...#.##..], img[2579], T[1,180], d[S])
Margin(data: [##..##.#.#], img[2579], T[1,180], d[W])
Margin(data: [#.#.##..##], img[2579], T[1,270], d[N])
Margin(data: [##..#.##..], img[2579], T[1,270], d[E])
Margin(data: [.##..###..], img[2579], T[1,270], d[S])
Margin(data: [#...#.##..], img[2579], T[1,270], d[W])
Margin(data: [.###.##.#.], img[2087], T[0,0], d[N])
Margin(data: [.##..#..##], img[2087], T[0,0], d[E])
Margin(data: [...##.#..#], img[2087], T[0,0], d[S])
Margin(data: [......#...], img[2087], T[0,0], d[W])
Margin(data: [...#......], img[2087], T[0,90], d[N])
Margin(data: [.###.##.#.], img[2087], T[0,90], d[E])
Margin(data: [##..#..##.], img[2087], T[0,90], d[S])
Margin(data: [...##.#..#], img[2087], T[0,90], d[W])
Margin(data: [#..#.##...], img[2087], T[0,180], d[N])
Margin(data: [...#......], img[2087], T[0,180], d[E])
Margin(data: [.#.##.###.], img[2087], T[0,180], d[S])
Margin(data: [##..#..##.], img[2087], T[0,180], d[W])
Margin(data: [.##..#..##], img[2087], T[0,270], d[N])
Margin(data: [#..#.##...], img[2087], T[0,270], d[E])
Margin(data: [......#...], img[2087], T[0,270], d[S])
Margin(data: [.#.##.###.], img[2087], T[0,270], d[W])
Margin(data: [.#.##.###.], img[2087], T[1,0], d[N])
Margin(data: [......#...], img[2087], T[1,0], d[E])
Margin(data: [#..#.##...], img[2087], T[1,0], d[S])
Margin(data: [.##..#..##], img[2087], T[1,0], d[W])
Margin(data: [##..#..##.], img[2087], T[1,90], d[N])
Margin(data: [.#.##.###.], img[2087], T[1,90], d[E])
Margin(data: [...#......], img[2087], T[1,90], d[S])
Margin(data: [#..#.##...], img[2087], T[1,90], d[W])
Margin(data: [...##.#..#], img[2087], T[1,180], d[N])
Margin(data: [##..#..##.], img[2087], T[1,180], d[E])
Margin(data: [.###.##.#.], img[2087], T[1,180], d[S])
Margin(data: [...#......], img[2087], T[1,180], d[W])
Margin(data: [......#...], img[2087], T[1,270], d[N])
Margin(data: [...##.#..#], img[2087], T[1,270], d[E])
Margin(data: [.##..#..##], img[2087], T[1,270], d[S])
Margin(data: [.###.##.#.], img[2087], T[1,270], d[W])
Margin(data: [###.#...##], img[3517], T[0,0], d[N])
Margin(data: [#....#.#.#], img[3517], T[0,0], d[E])
Margin(data: [##..##.###], img[3517], T[0,0], d[S])
Margin(data: [#####.#.##], img[3517], T[0,0], d[W])
Margin(data: [##.#.#####], img[3517], T[0,90], d[N])
Margin(data: [###.#...##], img[3517], T[0,90], d[E])
Margin(data: [#.#.#....#], img[3517], T[0,90], d[S])
Margin(data: [##..##.###], img[3517], T[0,90], d[W])
Margin(data: [###.##..##], img[3517], T[0,180], d[N])
Margin(data: [##.#.#####], img[3517], T[0,180], d[E])
Margin(data: [##...#.###], img[3517], T[0,180], d[S])
Margin(data: [#.#.#....#], img[3517], T[0,180], d[W])
Margin(data: [#....#.#.#], img[3517], T[0,270], d[N])
Margin(data: [###.##..##], img[3517], T[0,270], d[E])
Margin(data: [#####.#.##], img[3517], T[0,270], d[S])
Margin(data: [##...#.###], img[3517], T[0,270], d[W])
Margin(data: [##...#.###], img[3517], T[1,0], d[N])
Margin(data: [#####.#.##], img[3517], T[1,0], d[E])
Margin(data: [###.##..##], img[3517], T[1,0], d[S])
Margin(data: [#....#.#.#], img[3517], T[1,0], d[W])
Margin(data: [#.#.#....#], img[3517], T[1,90], d[N])
Margin(data: [##...#.###], img[3517], T[1,90], d[E])
Margin(data: [##.#.#####], img[3517], T[1,90], d[S])
Margin(data: [###.##..##], img[3517], T[1,90], d[W])
